22 64 40621 4 0 0.5
0 1 2 980 4200 O 20
1 2 2 760 0 C 0
2 3 2 830 5100 M 10
3 4 2 690 0 C 0
4 5 2 740 6200 O 20
5 6 2 880 0 C 0
6 7 2 910 4700 M 10
7 8 2 650 0 C 0
8 9 2 720 5900 O 20
9 10 2 805 0 C 0
10 11 2 670 5400 M 20
11 12 2 900 0 C 0
12 13 2 760 6800 O 30
13 14 2 820 0 C 0
14 15 2 730 5100 M 10
15 16 2 690 0 C 0
16 17 2 950 7200 O 20
17 18 2 710 0 C 0
18 19 2 860 6400 M 20
19 20 2 770 0 C 0
20 21 2 930 8000 O 30
21 0 2 990 0 C 0
0 5 2 1420 7600 O 20
1 6 2 1280 0 C 0
2 7 2 1350 6900 M 20
3 8 2 1180 0 C 0
4 9 2 1470 8300 O 30
5 10 2 1520 0 C 0
6 11 2 1340 6100 M 10
7 12 2 1580 0 C 0
8 13 2 1210 7400 O 20
9 14 2 1490 0 C 0
10 15 2 1320 5600 M 20
11 16 2 1600 0 C 0
12 17 2 1250 7100 O 20
13 18 2 1430 0 C 0
14 19 2 1550 6500 M 10
15 20 2 1370 0 C 0
16 21 2 1460 7900 O 30
17 0 2 1700 0 C 0
0 10 2 2100 8800 O 30
1 11 2 1980 0 C 0
2 12 2 2050 7700 M 20
3 13 2 1930 0 C 0
4 14 2 2140 8200 O 20
5 15 2 2070 0 C 0
6 16 2 2250 7300 M 10
7 17 2 1990 0 C 0
8 18 2 2180 8600 O 30
9 19 2 2030 0 C 0
10 20 2 2310 6900 M 20
11 21 2 2120 0 C 0
2 18 1 2450 9200 O 30
3 19 1 2380 0 C 0
4 20 1 2510 8100 M 20
5 21 1 2290 0 C 0
0 12 1 2600 7000 O 20
1 13 1 2480 0 C 0
6 18 1 2360 7600 M 10
7 19 1 2420 0 C 0
8 20 1 2550 9000 O 30
9 21 1 2490 0 C 0
10 2 1 1870 6200 M 10
11 3 1 1810 0 C 0
L M S M
